Phel_contig	PSC.58	PSC.63	PSC.61	PSC.52	PSC.54	PSC.59	PSC.69	PSC.67	PSC.78	PSC.71	cluster	GO_ID	GO_slim	CC_MF_BP
Phel_contig_10176	33	0	7	7	22	152	66	92	27	124	1	GO:0005576	non-structural extracellular	C
Phel_contig_10176	33	0	7	7	22	152	66	92	27	124	1	GO:0008270	other molecular function	F
Phel_contig_10176	33	0	7	7	22	152	66	92	27	124	1	GO:0030658	ER/Golgi	C
Phel_contig_10176	33	0	7	7	22	152	66	92	27	124	1	GO:0030658	other membranes	C
Phel_contig_10181	57	6	1	34	10	37	200	465	57	459	1	NA	NA	NA
Phel_contig_10182	33	28	42	52	21	502	104	533	227	336	1	NA	NA	NA
Phel_contig_10189	6	3	3	15	4	247	239	450	204	288	1	GO:0004035	other molecular function	F
Phel_contig_10189	6	3	3	15	4	247	239	450	204	288	1	GO:0005886	other membranes	C
Phel_contig_10189	6	3	3	15	4	247	239	450	204	288	1	GO:0005886	plasma membrane	C
Phel_contig_10189	6	3	3	15	4	247	239	450	204	288	1	GO:0031225	other membranes	C
Phel_contig_10189	6	3	3	15	4	247	239	450	204	288	1	GO:0046872	other molecular function	F
Phel_contig_10201	31	51	30	75	35	98	225	154	137	269	3	NA	NA	NA
Phel_contig_10208	17	1	5	2	2	36	519	686	445	123	1	NA	NA	NA
Phel_contig_10238	12	23	19	33	14	50	35	85	125	611	3	NA	NA	NA
Phel_contig_10264	18	16	6	7	13	47	49	103	21	271	3	NA	NA	NA
Phel_contig_10267	28	14	20	20	5	210	836	424	266	489	1	NA	NA	NA
Phel_contig_10271	76	31	10	169	22	303	344	349	571	857	3	NA	NA	NA
Phel_contig_10279	46	23	61	58	14	374	83	101	219	155	1	GO:0016491	other molecular function	F
Phel_contig_10286	4	0	0	0	1	4	17	8	18	0	2	NA	NA	NA
Phel_contig_10300	1	0	1	1	0	39	22	58	20	31	1	NA	NA	NA
Phel_contig_10304	16	6	2	9	8	61	94	292	159	155	1	NA	NA	NA
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0000122	RNA metabolism	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0001503	developmental processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0001843	developmental processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0002726	other biological processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0004842	other molecular function	F
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0005164	signal transduction activity	F
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0005634	nucleus	C
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0005811	other cellular component	C
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0005829	cytosol	C
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0005938	other cellular component	C
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0006974	stress response	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0007249	signal transduction	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0007250	other metabolic processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0007250	signal transduction	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0008270	other molecular function	F
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0009898	other membranes	C
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0009898	plasma membrane	C
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0019886	other biological processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0030316	developmental processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0031435	other molecular function	F
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0031624	other molecular function	F
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0031625	other molecular function	F
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0031666	signal transduction	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0031996	other molecular function	F
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0032743	other biological processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0042088	other biological processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0042102	cell cycle and proliferation	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0042475	developmental processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0042802	other molecular function	F
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0042826	other molecular function	F
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0042981	death	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0043011	developmental processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0043123	signal transduction	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0043234	other cellular component	C
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0043422	other molecular function	F
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0043507	protein metabolism	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0043507	signal transduction	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0043507	stress response	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0045084	other metabolic processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0045410	other metabolic processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0045453	other biological processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0045672	developmental processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0045944	RNA metabolism	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0047485	other molecular function	F
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0048468	other biological processes	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0048471	other cellular component	C
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0050852	signal transduction	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0051023	transport	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0051092	RNA metabolism	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0051865	protein metabolism	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0070498	signal transduction	P
Phel_contig_10324	86	12	13	20	20	170	72	197	57	204	1	GO:0070534	protein metabolism	P
Phel_contig_10335	3	2	6	0	0	11	25	50	27	30	1	NA	NA	NA
Phel_contig_10359	240	15	135	255	462	200	1953	2931	974	1584	1	NA	NA	NA
Phel_contig_10371	92	59	35	61	46	147	1162	390	104	3379	3	GO:0004180	other molecular function	F
Phel_contig_10371	92	59	35	61	46	147	1162	390	104	3379	3	GO:0005886	other membranes	C
Phel_contig_10371	92	59	35	61	46	147	1162	390	104	3379	3	GO:0005886	plasma membrane	C
Phel_contig_10371	92	59	35	61	46	147	1162	390	104	3379	3	GO:0006508	protein metabolism	P
Phel_contig_10371	92	59	35	61	46	147	1162	390	104	3379	3	GO:0008237	other molecular function	F
Phel_contig_10371	92	59	35	61	46	147	1162	390	104	3379	3	GO:0016021	other membranes	C
Phel_contig_10371	92	59	35	61	46	147	1162	390	104	3379	3	GO:0016805	other molecular function	F
Phel_contig_10371	92	59	35	61	46	147	1162	390	104	3379	3	GO:0043065	death	P
Phel_contig_10371	92	59	35	61	46	147	1162	390	104	3379	3	GO:0046872	other molecular function	F
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0000139	ER/Golgi	C
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0000139	other membranes	C
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0000187	protein metabolism	P
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0000187	signal transduction	P
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0004435	other molecular function	F
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0004629	other molecular function	F
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0004871	signal transduction activity	F
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0005085	enzyme regulator activity	F
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0005829	cytosol	C
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0005886	other membranes	C
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0005886	plasma membrane	C
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0007200	signal transduction	P
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0007264	signal transduction	P
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0008277	signal transduction	P
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0016042	other metabolic processes	P
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0019899	other molecular function	F
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0032835	developmental processes	P
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0045859	other metabolic processes	P
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0046578	signal transduction	P
Phel_contig_10373	55	51	34	77	88	562	36	419	101	220	1	GO:0046872	other molecular function	F
Phel_contig_10382	2	0	7	1	0	6	7	18	20	5	2	NA	NA	NA
Phel_contig_10383	16	0	2	6	8	41	32	5	32	62	1	NA	NA	NA
Phel_contig_10389	48	21	13	6	33	93	237	118	136	105	1	NA	NA	NA
Phel_contig_1039	1499	825	495	963	1822	5588	7063	4915	1200	4363	1	NA	NA	NA
Phel_contig_10397	26	21	9	17	16	67	66	120	14	270	3	NA	NA	NA
Phel_contig_10401	0	0	0	0	0	21	19	25	2	189	3	NA	NA	NA
Phel_contig_10410	3025	153	324	68	1194	2882	10702	88266	26409	10979	1	NA	NA	NA
Phel_contig_10432	2	2	1	12	1	12	20	11	19	9	2	NA	NA	NA
Phel_contig_10441	225	237	187	282	212	176	386	1565	517	6591	3	GO:0005634	nucleus	C
Phel_contig_10441	225	237	187	282	212	176	386	1565	517	6591	3	GO:0005814	cytoskeleton	C
Phel_contig_10441	225	237	187	282	212	176	386	1565	517	6591	3	GO:0005874	cytoskeleton	C
Phel_contig_10441	225	237	187	282	212	176	386	1565	517	6591	3	GO:0005929	other cellular component	C
Phel_contig_10441	225	237	187	282	212	176	386	1565	517	6591	3	GO:0014807	developmental processes	P
Phel_contig_10441	225	237	187	282	212	176	386	1565	517	6591	3	GO:0018095	protein metabolism	P
Phel_contig_10441	225	237	187	282	212	176	386	1565	517	6591	3	GO:0060271	cell organization and biogenesis	P
Phel_contig_10441	225	237	187	282	212	176	386	1565	517	6591	3	GO:0060296	other biological processes	P
Phel_contig_10441	225	237	187	282	212	176	386	1565	517	6591	3	GO:0065001	developmental processes	P
Phel_contig_10443	10	29	22	57	23	91	111	109	233	169	2	NA	NA	NA
Phel_contig_10450	20	28	24	36	16	111	88	56	103	97	1	NA	NA	NA
Phel_contig_10481	2	0	2	1	1	101	17	136	30	248	3	NA	NA	NA
Phel_contig_10499	45	25	16	25	14	117	36	206	71	114	1	GO:0005524	other molecular function	F
Phel_contig_10499	45	25	16	25	14	117	36	206	71	114	1	GO:0005788	ER/Golgi	C
Phel_contig_10506	10	14	7	9	12	75	39	62	26	51	1	NA	NA	NA
Phel_contig_10529	6	19	9	42	16	89	64	34	243	49	2	NA	NA	NA
Phel_contig_10530	5	1	8	2	4	15	2	51	22	14	1	NA	NA	NA
Phel_contig_10537	0	0	0	0	0	12	14	17	6	14	1	NA	NA	NA
Phel_contig_10538	27	36	23	21	30	225	74	80	56	120	1	NA	NA	NA
Phel_contig_10557	29	2	0	2	3	14	123	44	18	279	3	GO:0005509	other molecular function	F
Phel_contig_10557	29	2	0	2	3	14	123	44	18	279	3	GO:0005576	non-structural extracellular	C
Phel_contig_10557	29	2	0	2	3	14	123	44	18	279	3	GO:0007160	cell adhesion	P
Phel_contig_10565	1	2	10	2	3	20	4	47	27	19	1	NA	NA	NA
Phel_contig_10570	0	0	0	1	0	5	12	21	28	4	2	NA	NA	NA
Phel_contig_10573	11	14	24	20	10	80	41	52	141	46	2	NA	NA	NA
Phel_contig_10595	12	5	12	25	9	47	20	56	89	21	2	NA	NA	NA
Phel_contig_106	1080	832	740	673	1199	9061	2082	4659	1107	3706	1	GO:0003924	other molecular function	F
Phel_contig_106	1080	832	740	673	1199	9061	2082	4659	1107	3706	1	GO:0005525	other molecular function	F
Phel_contig_106	1080	832	740	673	1199	9061	2082	4659	1107	3706	1	GO:0005622	other cellular component	C
Phel_contig_106	1080	832	740	673	1199	9061	2082	4659	1107	3706	1	GO:0007264	signal transduction	P
Phel_contig_106	1080	832	740	673	1199	9061	2082	4659	1107	3706	1	GO:0019901	other molecular function	F
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0003878	other molecular function	F
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0005524	other molecular function	F
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0005654	nucleus	C
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0005739	mitochondrion	C
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0005829	cytosol	C
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0005886	other membranes	C
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0005886	plasma membrane	C
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0006085	other metabolic processes	P
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0006101	other metabolic processes	P
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0006107	other metabolic processes	P
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0006633	other metabolic processes	P
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0008610	other metabolic processes	P
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0009346	other cellular component	C
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0016020	other membranes	C
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0046872	other molecular function	F
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0048037	other molecular function	F
Phel_contig_1060	674	344	438	376	452	9724	4261	9379	1752	7952	1	GO:0070062	non-structural extracellular	C
Phel_contig_10605	72	4	2	3	2	128	275	229	43	267	1	NA	NA	NA
Phel_contig_10612	6	3	6	22	7	84	55	22	84	48	1	NA	NA	NA
Phel_contig_10616	32	34	54	26	12	242	99	153	572	149	2	NA	NA	NA
Phel_contig_10618	5	1	2	2	2	30	192	9	5	182	3	NA	NA	NA
Phel_contig_10620	0	0	0	0	0	19	2	1	0	1	1	NA	NA	NA
Phel_contig_10643	39	20	27	31	23	54	173	231	196	378	3	NA	NA	NA
Phel_contig_10658	1	5	1	4	11	21	12	37	17	8	1	NA	NA	NA
Phel_contig_1066	507	198	174	198	319	42376	34623	22644	6818	73641	3	GO:0002020	other molecular function	F
Phel_contig_1066	507	198	174	198	319	42376	34623	22644	6818	73641	3	GO:0005125	signal transduction activity	F
Phel_contig_1066	507	198	174	198	319	42376	34623	22644	6818	73641	3	GO:0005578	extracellular matrix	C
Phel_contig_1066	507	198	174	198	319	42376	34623	22644	6818	73641	3	GO:0005615	non-structural extracellular	C
Phel_contig_1066	507	198	174	198	319	42376	34623	22644	6818	73641	3	GO:0008083	signal transduction activity	F
Phel_contig_1066	507	198	174	198	319	42376	34623	22644	6818	73641	3	GO:0008191	enzyme regulator activity	F
Phel_contig_1066	507	198	174	198	319	42376	34623	22644	6818	73641	3	GO:0008284	cell cycle and proliferation	P
Phel_contig_1066	507	198	174	198	319	42376	34623	22644	6818	73641	3	GO:0009725	other biological processes	P
Phel_contig_1066	507	198	174	198	319	42376	34623	22644	6818	73641	3	GO:0010951	other biological processes	P
Phel_contig_1066	507	198	174	198	319	42376	34623	22644	6818	73641	3	GO:0034097	other biological processes	P
Phel_contig_1066	507	198	174	198	319	42376	34623	22644	6818	73641	3	GO:0043086	other biological processes	P
Phel_contig_1066	507	198	174	198	319	42376	34623	22644	6818	73641	3	GO:0046872	other molecular function	F
Phel_contig_1066	507	198	174	198	319	42376	34623	22644	6818	73641	3	GO:0051045	protein metabolism	P
Phel_contig_10680	7	0	0	20	3	25	47	23	32	58	3	NA	NA	NA
Phel_contig_10685	221	38	35	19	66	597	84	639	164	491	1	GO:0005509	other molecular function	F
Phel_contig_10685	221	38	35	19	66	597	84	639	164	491	1	GO:0005576	non-structural extracellular	C
Phel_contig_10686	18	0	2	6	20	43	72	68	55	165	3	NA	NA	NA
Phel_contig_10690	14	3	4	11	3	16	145	81	58	74	1	NA	NA	NA
Phel_contig_10704	26	8	1	30	5	23	515	61	24	247	1	NA	NA	NA
Phel_contig_10705	32	14	14	11	38	81	163	451	74	149	1	GO:0005509	other molecular function	F
Phel_contig_10705	32	14	14	11	38	81	163	451	74	149	1	GO:0005886	other membranes	C
Phel_contig_10705	32	14	14	11	38	81	163	451	74	149	1	GO:0005886	plasma membrane	C
Phel_contig_10705	32	14	14	11	38	81	163	451	74	149	1	GO:0007156	cell adhesion	P
Phel_contig_10705	32	14	14	11	38	81	163	451	74	149	1	GO:0016021	other membranes	C
Phel_contig_10707	93	36	35	104	69	216	243	328	435	147	2	NA	NA	NA
Phel_contig_10724	66	115	117	562	75	1394	393	3552	4948	410	2	NA	NA	NA
Phel_contig_10772	0	1	1	1	4	17	20	75	47	35	1	NA	NA	NA
Phel_contig_10776	10	1	7	6	91	42	777	643	178	120	1	NA	NA	NA
Phel_contig_10782	73	7	1	8	19	422	445	635	188	1143	3	GO:0005886	other membranes	C
Phel_contig_10782	73	7	1	8	19	422	445	635	188	1143	3	GO:0005886	plasma membrane	C
Phel_contig_10782	73	7	1	8	19	422	445	635	188	1143	3	GO:0005887	other membranes	C
Phel_contig_10782	73	7	1	8	19	422	445	635	188	1143	3	GO:0005887	plasma membrane	C
Phel_contig_10782	73	7	1	8	19	422	445	635	188	1143	3	GO:0015125	transporter activity	F
Phel_contig_10782	73	7	1	8	19	422	445	635	188	1143	3	GO:0015347	transporter activity	F
Phel_contig_10782	73	7	1	8	19	422	445	635	188	1143	3	GO:0015349	transporter activity	F
Phel_contig_10782	73	7	1	8	19	422	445	635	188	1143	3	GO:0043252	transport	P
Phel_contig_1079	36	19	24	50	29	306	114	176	177	169	1	NA	NA	NA
Phel_contig_10794	2	0	1	0	0	12	12	23	17	3	1	NA	NA	NA
Phel_contig_10795	398	348	197	1661	291	1967	112	1328	8644	547	2	NA	NA	NA
Phel_contig_10804	13	12	25	26	9	43	193	153	214	96	2	NA	NA	NA
Phel_contig_10807	50	18	46	255	13	394	67	128	548	173	2	NA	NA	NA
Phel_contig_1082	1232	507	559	560	637	4517	4656	2449	993	3242	1	NA	NA	NA
Phel_contig_10824	6	3	2	43	7	41	331	15	111	657	3	NA	NA	NA
Phel_contig_10842	1	1	0	0	0	198	3	14	20	2	1	NA	NA	NA
Phel_contig_10849	80	31	19	20	32	221	71	365	83	217	1	GO:0003723	nucleic acid binding activity	F
Phel_contig_10849	80	31	19	20	32	221	71	365	83	217	1	GO:0005634	nucleus	C
Phel_contig_10849	80	31	19	20	32	221	71	365	83	217	1	GO:0016032	other biological processes	P
Phel_contig_10849	80	31	19	20	32	221	71	365	83	217	1	GO:0046872	other molecular function	F
Phel_contig_10878	31	36	38	29	31	54	2046	1106	460	586	1	NA	NA	NA
Phel_contig_10886	23	17	18	29	30	48	80	58	58	177	3	NA	NA	NA
Phel_contig_10887	18	0	2	4	5	160	123	422	60	1317	3	NA	NA	NA
Phel_contig_10909	14	14	18	48	17	83	15	84	325	119	2	NA	NA	NA
Phel_contig_10913	2	4	2	4	2	36	16	27	0	23	1	NA	NA	NA
Phel_contig_10922	10	13	14	20	23	88	159	98	71	94	1	NA	NA	NA
Phel_contig_10946	13	15	18	10	13	25	62	107	43	70	1	NA	NA	NA
Phel_contig_10957	3	0	4	0	1	32	6	4	1	7	1	NA	NA	NA
Phel_contig_10961	14	0	0	8	1	72	10	7	20	31	1	GO:0005509	other molecular function	F
Phel_contig_10961	14	0	0	8	1	72	10	7	20	31	1	GO:0005576	non-structural extracellular	C
Phel_contig_10961	14	0	0	8	1	72	10	7	20	31	1	GO:0005737	other cellular component	C
Phel_contig_10961	14	0	0	8	1	72	10	7	20	31	1	GO:0007160	cell adhesion	P
Phel_contig_10961	14	0	0	8	1	72	10	7	20	31	1	GO:0007275	developmental processes	P
Phel_contig_10961	14	0	0	8	1	72	10	7	20	31	1	GO:0030317	other biological processes	P
Phel_contig_1097	70	33	9	27	6	2243	3612	959	508	1193	1	NA	NA	NA
Phel_contig_10970	9	1	1	10	2	35	22	168	162	56	1	NA	NA	NA
Phel_contig_11035	6	6	14	1	2	16	25	65	13	9	1	NA	NA	NA
Phel_contig_11038	8	5	5	5	9	197	17	72	33	122	1	NA	NA	NA
Phel_contig_11062	0	0	0	0	0	8	6	0	6	4	1	NA	NA	NA
Phel_contig_11069	0	2	3	2	4	16	10	10	7	4	1	NA	NA	NA
Phel_contig_11079	11	4	14	8	18	36	113	35	36	94	3	NA	NA	NA
Phel_contig_11093	332	91	56	29	89	308	158	225	46	1784	3	NA	NA	NA
Phel_contig_11096	7	12	14	23	10	33	98	40	31	65	1	NA	NA	NA
Phel_contig_11176	0	8	2	26	0	28	174	13	59	475	3	NA	NA	NA
Phel_contig_11201	3	8	7	3	3	12	16	23	27	11	2	NA	NA	NA
Phel_contig_11223	48	50	47	110	31	183	685	349	496	971	3	NA	NA	NA
Phel_contig_11229	4	15	4	20	4	75	214	120	99	152	1	NA	NA	NA
Phel_contig_11239	0	0	1	0	0	4	17	39	15	0	1	NA	NA	NA
Phel_contig_11249	78	79	35	45	45	371	1041	509	172	1038	3	NA	NA	NA
Phel_contig_11252	25	31	20	17	31	99	160	106	71	189	3	NA	NA	NA
Phel_contig_11260	68	14	13	32	58	48	726	942	272	443	1	NA	NA	NA
Phel_contig_1128	2167	1489	261	560	336	4363	7481	2040	4276	4672	1	GO:0004175	other molecular function	F
Phel_contig_1128	2167	1489	261	560	336	4363	7481	2040	4276	4672	1	GO:0004222	other molecular function	F
Phel_contig_1128	2167	1489	261	560	336	4363	7481	2040	4276	4672	1	GO:0005576	non-structural extracellular	C
Phel_contig_1128	2167	1489	261	560	336	4363	7481	2040	4276	4672	1	GO:0005578	extracellular matrix	C
Phel_contig_1128	2167	1489	261	560	336	4363	7481	2040	4276	4672	1	GO:0005615	non-structural extracellular	C
Phel_contig_1128	2167	1489	261	560	336	4363	7481	2040	4276	4672	1	GO:0008201	other molecular function	F
Phel_contig_1128	2167	1489	261	560	336	4363	7481	2040	4276	4672	1	GO:0008270	other molecular function	F
Phel_contig_1128	2167	1489	261	560	336	4363	7481	2040	4276	4672	1	GO:0010573	other biological processes	P
Phel_contig_1128	2167	1489	261	560	336	4363	7481	2040	4276	4672	1	GO:0016485	protein metabolism	P
Phel_contig_1128	2167	1489	261	560	336	4363	7481	2040	4276	4672	1	GO:0030199	cell organization and biogenesis	P
Phel_contig_1128	2167	1489	261	560	336	4363	7481	2040	4276	4672	1	GO:0030574	other metabolic processes	P
Phel_contig_1128	2167	1489	261	560	336	4363	7481	2040	4276	4672	1	GO:0032964	other metabolic processes	P
Phel_contig_1128	2167	1489	261	560	336	4363	7481	2040	4276	4672	1	GO:0070062	non-structural extracellular	C
Phel_contig_11280	0	0	0	5	1	32	209	65	32	183	3	NA	NA	NA
